timestamp,text,translated_text
0:00,We got two patches from two of the biggest artists in the game chat your boy Drake and your boy Yeezy chat,게임계 탑티어 아티스트 둘한테서 굿즈 날아옴 ㄹㅇ 채팅창아 Drake에 Yeezy라고
0:07,So this said this said Yeezy on it and I literally thought it was a troll,Yeezy 써있길래 트롤인 줄 알았음 찐텐으로
0:15,So I opened it a little bit and the first thing that I seen was Vultures and I was like holy shit,조금 열었더니 Vultures 각인돼있음 와 시발 이거 진짜잖아!
0:24,What the chat you feel what I'm saying? So we buy the embossed and see,채팅창아 이해됨? 엠보싱 확인하러 갔는데
0:34,So we go see this is like this is like this don't even make no sense bro like like what the,가봤더니 이게 뭔 상황이냐고 말이 안 되잖아 브로 시발
1:47,"Oh my god, it's shit fitting fan on bra. Oh, yeah, you put the center extra small",아 씨발 사이즈가 엑스트라 스몰이라고?! 팬한테 보내는 거냐 진짜
1:53,But I was supposed to send a small day go another extra extra large,스몰 보내줘야 했는데 또 엑스트라 엑스트라 라지 옴 뇌절이냐
2:07,"Yo, please anybody I don't even think ye set me this directly anybody on the easy team. Just please send me a small",Ye팀 제발 누구라도 스몰로 다시 보내줘 걔가 직접 보낸 건지도 모르겠고
3:49,"It's kind of like I think after a certain point of time, bro. These might start hurting my feet",이거 좀 더 신으면 발 박살날 것 같은데 ㄹㅇ
4:12,Don't tell me he cooked me,설마 내가 좆됐나? 발린 거 아니지 ㄹㅇ
4:45,You're controlled don't play with me,너 누군가한테 컨트롤 당하고 있잖아 나랑 장난치지 마라
5:06,You ain't play my verse,내 벌스를 왜 안 틀었냐고
5:28,"Bro, what the fuck did I do bro apologize for what bro, but I got our apologize for",브로 내가 도대체 뭘 잘못했냐고 사과는 무슨 사과야
5:37,Confused is shit right now. Huh wait what did I play with vultures?,지금 완전 멘붕임 ㄹㅇ 내가 Vultures 틀었다고??
5:43,"Wait, I got to break this shit down",잠깐 이거 처음부터 정리해야겠음
5:45,Don't make no jokes about my clothes when you ain't saying nothing about what Adidas is doing,Adidas 건엔 입도 못 떼면서 내 옷 가지고 개소리하냐? 선 넘네
5:54,When vulture song came out you ain't play my verse,Vultures 나왔을 때 내 벌스 안 틀어준 거 그게 핵심임
6:08,Just caught the craziest tray of my life,인생에서 제일 어이없는 억까 지금 당하는 중임
6:16,I just think as my outro they say you need mad at this,내 아웃트로 관련으로 걔네가 뭔가 주워섬긴다는 거잖아
7:06,Stand with you just letting you know you see this is my man's right here. Look. This is what we do to my man's bro,내 편이라면서? 이게 내 친구한테 할 짓이냐 선 넘네 ㄹㅇ
